Pathway	entrezgene	Type	Type1
NFkB	55914	Gene	Process
Inflammation	4790	InflGene	Process
Inflammation	4792	Gene	Process
Inflammation	7124	InflGene	Process
Inflammation	1432	InflGene	Process
Inflammation	3576	InflGene	Process
Inflammation	5335	Gene	Process
Inflammation	5336	Gene	Process
Inflammation	5294	Gene	Process
Inflammation	5594	Gene	Process
Inflammation	5330	Gene	Process
Inflammation	5595	Gene	Process
Inflammation	5331	Gene	Process
Inflammation	5332	Gene	Process
Inflammation	5970	InflGene	Process
Inflammation	5333	Gene	Process
Inflammation	113026	Gene	Process
Inflammation	3551	Gene	Process
Inflammation	3593	InflGene	Process
Inflammation	5290	Gene	Process
Inflammation	23236	Gene	Process
Inflammation	3592	InflGene	Process
Inflammation	5291	Gene	Process
Inflammation	5293	Gene	Process
Inflammation	84812	Gene	Process
Inflammation	3569	InflGene	Process
Inflammation	51196	Gene	Process
Inflammation	1147	Gene	Process
Inflammation	3708	Gene	Process
Inflammation	10000	Gene	Process
Inflammation	56729	InflGene	Process
Inflammation	207	InflGene	Process
Inflammation	8517	Gene	Process
Inflammation	208	Gene	Process
Immune cell regulation	7124	InflGene	Process
Immune cell regulation	3683	Gene	Process
Immune cell regulation	7412	InflGene	Process
Immune cell regulation	3552	InflGene	Process
Immune cell regulation	3383	InflGene	Process
Immune cell regulation	3569	InflGene	Process
Immune cell regulation	3827	InflGene	Process
Immune cell regulation	730	Gene	Process
Immune cell regulation	3576	InflGene	Process
Immune cell regulation	6403	InflGene	Process
Immune cell regulation	3676	Gene	Process
Immune cell regulation	3688	Gene	Process
Immune cell regulation	6404	Gene	Process
Immune cell regulation	727	InflGene	Process
Immune cell regulation	3689	Gene	Process
Immune cell regulation	718	InflGene	Process
Immune cell regulation	729	Gene	Process
Immune cell regulation	6351	InflGene	Process
Immune cell regulation	7043	Gene	Process
Immune cell regulation	3460	Gene	Process
Immune cell regulation	7040	InflGene	Process
Immune cell regulation	7042	Gene	Process
Immune cell regulation	1437	InflGene	Process
Immune cell regulation	3459	Gene	Process
Immune cell regulation	3558	Gene	Process
Immune cell regulation	1236	InflGene	Process
Immune cell regulation	3458	InflGene	Process
Immune cell regulation	8809	Gene	Process
Immune cell regulation	1234	Gene	Process
Immune cell regulation	1233	Gene	Process
Immune cell regulation	1232	Gene	Process
Immune cell regulation	959	InflGene	Process
Immune cell regulation	6384	Gene	Process
Immune cell regulation	729230	Gene	Process
Immune cell regulation	7852	Gene	Process
Immune cell regulation	1230	Gene	Process
Immune cell regulation	3595	Gene	Process
Immune cell regulation	3594	Gene	Process
Immune cell regulation	3593	InflGene	Process
Immune cell regulation	3592	InflGene	Process
Immune cell regulation	2833	InflGene	Process
Immune cell regulation	3567	Gene	Process
Immune cell regulation	940	Gene	Process
Immune cell regulation	3566	InflGene	Process
Immune cell regulation	3565	Gene	Process
Immune cell regulation	920	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3681	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	7124	InflGene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1282	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3162	InflGene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	581	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	5293	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3569	InflGene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	596	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1401	InflGene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	2335	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	896	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3576	InflGene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1001	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3909	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	5742	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	10000	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	5743	InflGene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	4798	Gene	Process
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	5747	Gene	Process
Diseases	6351	InflGene	Process
Diseases	3082	Gene	Process
Diseases	653509	Gene	Process
Diseases	6352	InflGene	Process
Diseases	5265	InflGene	Process
Diseases	7124	InflGene	Process
Diseases	6356	InflGene	Process
Diseases	7040	InflGene	Process
Diseases	4092	Gene	Process
Diseases	3162	InflGene	Process
Diseases	57105	Gene	Process
Diseases	1215	Gene	Process
Diseases	796	InflGene	Process
Diseases	3479	Gene	Process
Diseases	3553	InflGene	Process
Diseases	6348	InflGene	Process
Diseases	6347	InflGene	Process
Diseases	4204	Gene	Process
Diseases	5154	Gene	Process
Diseases	4780	Gene	Process
Diseases	6440	Gene	Process
Diseases	7015	Gene	Process
Diseases	5155	Gene	Process
Diseases	729230	Gene	Process
Diseases	729238	Gene	Process
Diseases	727897	Gene	Process
Diseases	5073	Gene	Process
Diseases	3569	InflGene	Process
Diseases	23250	Gene	Process
Diseases	3567	Gene	Process
Diseases	3565	Gene	Process
Diseases	1906	InflGene	Process
Diseases	10144	Gene	Process
Diseases	6696	InflGene	Process
Diseases	91039	Gene	Process
Diseases	6498	Gene	Process
Diseases	1440	Gene	Process
Diseases	2252	Gene	Process
Diseases	79991	Gene	Process
Diseases	1437	InflGene	Process
Diseases	1832	Gene	Process
Diseases	2920	InflGene	Process
Diseases	2006	Gene	Process
Diseases	2247	InflGene	Process
Diseases	1950	Gene	Process
Diseases	2246	Gene	Process
Diseases	3576	InflGene	Process
Diseases	655	Gene	Process
Diseases	1232	Gene	Process
Diseases	4502	Gene	Process
Diseases	7076	InflGene	Process
Diseases	7039	Gene	Process
Diseases	3596	InflGene	Process
Diseases	3593	InflGene	Process
Diseases	1051	Gene	Process
Diseases	1490	Gene	Process
Diseases	5806	InflGene	Process
Diseases	255520	Gene	Process
Diseases	51750	Gene	Process
Diseases	26585	Gene	Process
Diseases	4313	InflGene	Process
Diseases	5328	Gene	Process
Diseases	4318	InflGene	Process
