source	target
TLR4	TRAF3
TLR4	UBC
TLR4	TLR5
TLR4	TRAF6
TLR4	CASP1
TLR4	IKBKB
TLR4	TICAM2
TLR4	IL10
TLR4	MYD88
TLR4	RHOA
TLR4	TNF
TLR4	SFTPA1
TLR4	IRAK4
TLR4	TLR6
TLR4	UBA52
TLR4	IL6
TLR4	RELA
TLR4	TIRAP
TLR4	HSPD1
TLR4	TAB3
TLR4	SYK
TLR6	IKBKG
TLR6	TRAF6
TLR6	IKBKB
TLR6	MYD88
TLR7	TRAF6
TLR7	MYD88
TLR7	IRAK4
TLR8	TRAF6
TLR8	MYD88
TLR8	IRAK4
TLR8	TLR7
TLR8	IRAK1
TLR8	UBE2V1
TLR8	UBE2N
TLR9	IL10
TLR9	MYD88
TLR9	IL6
IL1B	CCL4
IL1B	CCL3
IL1B	IL12RB1
IL1B	TRAF6
IL1B	CASP1
IL1B	TYK2
IL1B	PIK3R1
IL1B	CXCL2
IL1B	TICAM2
IL1B	IL10
IL1B	MYD88
IL1B	TNF
IL1B	IRAK4
IL1B	IL1R1
IL1B	IL6
IL1B	NLRC4
IL1B	RELA
IL1B	CXCL1
IL1B	JAK2
IL1B	TLR4
IL1B	MMP9
IL1B	JUN
IL1B	IRAK1
IL1B	NFKB2
IL1B	PTGS2
IL1B	CCL20
IL1B	CASP8
IL1B	IL17A
IL1B	NLRP3
IL1B	MAPK11
IL1B	IL1RAP
IL1B	TOLLIP
IL1B	CXCL8
IL1B	IL13
IL1B	DEFB4A
IL1B	IL12A
IL1B	IL18
IL1B	ICAM1
IL1B	STAT3
IL1B	PIK3CA
IL1A	TRAF6
IL1A	CASP1
IL1A	IL10
IL1A	MYD88
IL1A	TNF
IL1A	IRAK4
IL1A	IL1R1
IL1A	IL6
IL1A	RELA
IL1A	JUN
IL1A	CHUK
IL1A	IRAK1
IL1A	NFKB2
IL1A	MAP3K7
IL1A	IL1RAP
IL1A	TOLLIP
IL1A	IL13
IL1A	IL18
IL1A	STAT3
IL1A	IL1B
HCK	PLCG2
HCK	CCL4
HCK	VAV1
TLR1	IKBKG
TLR1	IKBKB
TLR1	MYD88
TLR1	SFTPA1
TLR1	IRAK4
TLR1	TLR6
TLR1	TIRAP
TLR1	HSPD1
TLR1	CHUK
TLR1	IRAK1
IL17RA	IL17RE
IL17RA	IL17A
IL17RA	IL17F
IL17RA	IL25
VAV1	PLCG2
VAV1	GNB1
RHOA	GNB1
RHOA	VEGFA
RHOA	VAV1
RHOA	AKT1
RHOA	ITGAM
RHOA	UBC
RHOA	CASP1
RHOA	PIK3R1
RHOA	HRAS
RHOA	SHC1
IL17RB	IL25
IL17RB	IL17RA
IL17RC	IL17A
IL17RC	IL17F
IL17RC	IL17RA
IL17RD	HRAS
IL17RD	SRC
IL17RD	NRAS
IL17RD	FN1
IL17RD	MAP2K1
TYK2	IL12RB1
TYK2	IL22
HBA1	HBB
IL18	CASP1
IL18	IL10
IL18	TNF
IL18	MAPK9
IL18	IL18R1
IL18	NLRC4
IL18	RELA
IL18	MAPK8
IL18	JUN
IL18	NFKB2
IL18	NLRP3
IL18	IL13
IL18	IL15
GAB1	FGF1
GAB1	VEGFA
GAB1	AKT1
GAB1	HCK
GAB1	PIK3R1
GAB1	HRAS
GAB1	SHC1
GAB1	SOS1
GAB1	IL6
GAB1	MAPK8
GAB1	GRB2
GAB1	JAK2
GAB1	IL6ST
GAB1	PIK3CD
GAB1	SRC
GAB1	NGF
GAB1	IL6R
GAB1	RAC1
GAB1	JAK1
GAB1	GNAI1
GAB1	PTPN11
GAB1	HSP90AA1
GAB1	PDGFB
GAB1	MAP2K1
GAB1	PIK3CB
GAB1	EGFR
GAB1	FGF7
GAB1	EGF
GAB1	FGF2
GAB1	PIK3CA
GAB1	MAPK3
SFTPD	SFTPA1
SFTPD	SFTPA2
IL13	ITGAM
IL13	TYK2
IL13	IL10
IL13	TNF
IL13	IL6
IL13	ITGB2
IL13	ITGB1
IL13	IL4R
IL13	JAK2
IL13	IL33
IL13	GATA3
IL13	ANXA1
IL13	STAT1
IL13	FN1
IL13	IL17A
IL13	JAK1
IL13	TSLP
IL13	CXCL8
SFTPC	SFTPA1
SFTPC	SFTPA2
SFTPC	SFTPD
IL15	SHC1
IL15	SOS1
IL15	GRB2
IL15	JAK1
SYK	PLCG2
SYK	VAV1
SYK	HCK
SYK	PIK3R1
SYK	SHC1
SYK	RHOA
SYK	SOS1
SYK	RELA
SYK	SPP1
SYK	GRB2
SYK	PIK3CD
EDN1	CCL4
EDN1	GNB1
EDN1	AKT1
EDN1	HCK
EDN1	PLCB3
EDN1	CCR3
EDN1	PIK3R1
EDN1	HRAS
EDN1	RHOA
EDN1	CXCR4
EDN1	PPARA
EDN1	SAA1
EDN1	CXCL12
EDN1	MAPK8
EDN1	JAK2
IL11	TYK2
IL11	JAK2
IL11	IL6ST
IL11	JAK1
IL10	CCL4
IL10	CCL3
IL10	CCL5
IL10	TYK2
IL10	CXCL2
NCOA1	ESR1
NCOA1	ADIPOQ
NCOA1	CEBPD
NCOA1	PPARA
CCR2	CCL4
CCR2	GNB1
CCR2	CCL3
CCR2	CCL5
CCR2	CCR3
CCR2	CXCL2
CCR2	IL10
CCR2	CXCR4
CCR2	SAA1
CCR2	POMC
CCR2	CXCL12
CCR2	CXCL1
CCR2	CCL8
CCR2	CCL7
CCR2	ANXA1
CCR2	CXCR3
CCR2	AGT
CCR2	CCL20
CCR2	PTGER3
CCR2	GNAI1
CCR2	GNG2
CCR2	PTGDR2
CCR2	CCR4
CCR2	CXCL8
CCR2	CXCL10
CCR2	CCL11
CCR2	CCR1
