Pathway	entrezgene	Type	Type.1
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	148022	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3456	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	6347	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3654	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	4843	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3656	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7099	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7098	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	100313781	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3551	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3593	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3569	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	1147	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	51135	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	207	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	8517	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	5327	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3689	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	6714	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	4615	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3627	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	114609	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	6850	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3661	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	23643	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	2921	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	83593	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	353376	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	387	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3929	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7305	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	868	Gene	Pathway
Vitamin B12	6472	Gene	Cluster
Vitamin B12	5340	Gene	Cluster
Vitamin B12	7124	InflGene	Cluster
Vitamin B12	2155	Gene	Cluster
Vitamin B12	3043	Gene	Cluster
Vitamin B12	3558	InflGene	Cluster
Vitamin B12	3039	Gene	Cluster
Vitamin B12	2147	InflGene	Cluster
Vitamin B12	875	Gene	Cluster
Vitamin B12	3553	InflGene	Cluster
Vitamin B12	3630	Gene	Cluster
Vitamin B12	6347	InflGene	Cluster
Vitamin B12	4524	Gene	Cluster
Vitamin B12	12	Gene	Cluster
Vitamin B12	102465534	Gene	Cluster
Vitamin B12	4143	Gene	Cluster
Vitamin B12	6289	Gene	Cluster
Vitamin B12	6288	InflGene	Cluster
Vitamin B12	19	Gene	Cluster
Vitamin B12	3569	InflGene	Cluster
Vitamin B12	3565	InflGene	Cluster
Vitamin B12	3643	Gene	Cluster
Vitamin B12	847	InflGene	Cluster
Vitamin B12	4790	InflGene	Cluster
Vitamin B12	4791	InflGene	Cluster
Vitamin B12	4353	InflGene	Cluster
Vitamin B12	4552	Gene	Cluster
Vitamin B12	6290	Gene	Cluster
Vitamin B12	3383	InflGene	Cluster
Vitamin B12	6291	InflGene	Cluster
Vitamin B12	1435	InflGene	Cluster
Vitamin B12	3458	InflGene	Cluster
Vitamin B12	213	Gene	Cluster
Vitamin B12	335	InflGene	Cluster
Vitamin B12	338	Gene	Cluster
Vitamin B12	6647	InflGene	Cluster
Vitamin B12	6649	Gene	Cluster
Vitamin B12	4548	Gene	Cluster
Vitamin B12	6648	Gene	Cluster
Vitamin B12	100129518	Gene	Cluster
Vitamin B12	5054	InflGene	Cluster
Vitamin B12	5970	InflGene	Cluster
Vitamin B12	7157	InflGene	Cluster
Vitamin B12	1491	Gene	Cluster
Vitamin B12	3949	Gene	Cluster
Vitamin B12	1401	InflGene	Cluster
Vitamin B12	5327	InflGene	Cluster
Vitamin B12	949	Gene	Cluster
Vitamin B12	102466733	Gene	Cluster
Vitamin B12	2352	Gene	Cluster
Vitamin B12	191	Gene	Cluster
Vitamin B12	2350	Gene	Cluster
Vitamin B12	6470	Gene	Cluster
Vitamin B12	2348	Gene	Cluster
Vitamin B12	4522	Gene	Cluster
Vitamin B12	4842	Gene	Cluster
Vitamin B12	390243	Gene	Cluster
Vitamin B12	80308	Gene	Cluster
Vitamin B12	2878	Gene	Cluster
Vitamin B12	2877	Gene	Cluster
Vitamin B12	2876	Gene	Cluster
Vitamin B12	257202	Gene	Cluster
Vitamin B12	2879	Gene	Cluster
Vitamin B12	10588	Gene	Cluster
Vitamin B12	6573	Gene	Cluster
Vitamin B12	113235	Gene	Cluster
Vitamin B12	1719	Gene	Cluster
Vitamin B12	10797	Gene	Cluster
Vitamin B12	55312	Gene	Cluster
Vitamin B12	2618	Gene	Cluster
Vitamin B12	7941	InflGene	Cluster
Vitamin B12	114548	InflGene	Cluster
Vitamin B12	2205	Gene	Cluster
Vitamin B12	3554	InflGene	Cluster
Vitamin B12	1232	InflGene	Cluster
Vitamin B12	3654	Gene	Cluster
Vitamin B12	7076	InflGene	Cluster
Vitamin B12	100313781	Gene	Cluster
Vitamin B12	5290	Gene	Cluster
Vitamin B12	6280	InflGene	Cluster
Vitamin B12	7097	InflGene	Cluster
Vitamin B12	7096	Gene	Cluster
Vitamin B12	4318	InflGene	Cluster
Vitamin B12	3606	InflGene	Cluster
Vitamin B12	4615	InflGene	Cluster
Vitamin B12	8991	Gene	Cluster
Vitamin B12	2149	Gene	Cluster
Vitamin B12	1839	Gene	Cluster
Vitamin B12	7077	Gene	Cluster
Cytokines	6772	Gene	Cluster
Cytokines	6774	InflGene	Cluster
Cytokines	3162	InflGene	Cluster
Cytokines	3716	Gene	Cluster
Cytokines	3588	InflGene	Cluster
Cytokines	3587	InflGene	Cluster
Cytokines	6773	Gene	Cluster
Cytokines	6775	Gene	Cluster
Cytokines	644	Gene	Cluster
Cytokines	645	Gene	Cluster
Cytokines	6777	Gene	Cluster
Cytokines	6776	Gene	Cluster
Cytokines	6778	Gene	Cluster
Cytokines	7189	Gene	Cluster
Cytokines	112744	InflGene	Cluster
Cytokines	4790	InflGene	Cluster
Cytokines	4793	Gene	Cluster
Cytokines	9020	Gene	Cluster
Cytokines	64806	Gene	Cluster
Cytokines	3717	InflGene	Cluster
Cytokines	5594	Gene	Cluster
Cytokines	5595	Gene	Cluster
Cytokines	5970	InflGene	Cluster
Cytokines	6885	Gene	Cluster
Cytokines	3551	Gene	Cluster
Cytokines	1051	Gene	Cluster
Cytokines	2932	Gene	Cluster
Cytokines	8517	Gene	Cluster
Cytokines	207	InflGene	Cluster
Cytokines	3605	InflGene	Cluster
Cytokines	7187	Gene	Cluster
Cytokines	132014	Gene	Cluster
Cytokines	23765	Gene	Cluster
Cytokines	84818	Gene	Cluster
Cytokines	53342	Gene	Cluster
Cytokines	10758	Gene	Cluster
Cytokines	55540	Gene	Cluster
Cytokines	27189	Gene	Cluster
Cytokines	6667	Gene	Cluster
Cytokines	54756	Gene	Cluster
Cytokines	1052	Gene	Cluster
Cytokines	27190	Gene	Cluster
Cytokines	3659	InflGene	Cluster
Cytokines	7076	InflGene	Cluster
Cytokines	7432	InflGene	Cluster
Cytokines	3572	Gene	Cluster
Cytokines	3570	InflGene	Cluster
Cytokines	1401	InflGene	Cluster
Cytokines	5580	Gene	Cluster
Cytokines	6198	Gene	Cluster
Cytokines	5781	Gene	Cluster
Cytokines	6654	Gene	Cluster
Cytokines	3065	Gene	Cluster
