id	type	entrezgene
CSF1	InflGene	1435
CSF2	InflGene	1437
CTNNB1	InflGene	1499
AGER	InflGene	177
EDN1	InflGene	1906
ELANE	InflGene	1991
AKT1	InflGene	207
F2	InflGene	2147
FGF2	InflGene	2247
GATA3	InflGene	2625
CXCR3	InflGene	2833
NR3C1	InflGene	2908
CXCL1	InflGene	2919
CXCL2	InflGene	2920
TBX21	InflGene	30009
ANXA1	InflGene	301
HMGB1	InflGene	3146
HMOX1	InflGene	3162
HSPD1	InflGene	3329
APOA1	InflGene	335
ICAM1	InflGene	3383
IFNG	InflGene	3458
FAS	InflGene	355
IL1A	InflGene	3552
IL1B	InflGene	3553
IL1RN	InflGene	3557
FASLG	InflGene	356
IL4R	InflGene	3566
IL6	InflGene	3569
CXCL8	InflGene	3576
IL10	InflGene	3586
IL12A	InflGene	3592
IL12B	InflGene	3593
IL13	InflGene	3596
IL15	InflGene	3600
IL17A	InflGene	3605
IL18	InflGene	3606
CXCL10	InflGene	3627
IRF1	InflGene	3659
JAK2	InflGene	3717
KNG1	InflGene	3827
LCN2	InflGene	3934
LEP	InflGene	3952
LTF	InflGene	4057
MEFV	InflGene	4210
MMP1	InflGene	4312
MMP2	InflGene	4313
MMP3	InflGene	4314
MMP9	InflGene	4318
MPO	InflGene	4353
MYD88	InflGene	4615
NFKB1	InflGene	4790
NGF	InflGene	4803
NOS2	InflGene	4843
SERPINE1	InflGene	5054
IL22	InflGene	50616
FOXP3	InflGene	50943
IL23A	InflGene	51561
SERPINA1	InflGene	5265
PLAT	InflGene	5327
TLR9	InflGene	54106
POMC	InflGene	5443
PPARA	InflGene	5465
RETN	InflGene	56729
PTGS2	InflGene	5743
PTX3	InflGene	5806
RELA	InflGene	5970
S100A9	InflGene	6280
S100A12	InflGene	6283
SAA1	InflGene	6288
CCL2	InflGene	6347
CCL3	InflGene	6348
CCL4	InflGene	6351
CCL5	InflGene	6352
CCL11	InflGene	6356
CCL20	InflGene	6364
CXCL12	InflGene	6387
SELE	InflGene	6401
SELP	InflGene	6403
NOD2	InflGene	64127
SOD1	InflGene	6647
SPP1	InflGene	6696
BPI	InflGene	671
STAT3	InflGene	6774
TF	InflGene	7018
TGFB1	InflGene	7040
TIMP1	InflGene	7076
TLR2	InflGene	7097
TLR3	InflGene	7098
TLR4	InflGene	7099
TNF	InflGene	7124
TNFAIP3	InflGene	7128
TNFRSF1A	InflGene	7132
TP53	InflGene	7157
C3	InflGene	718
C5	InflGene	727
VCAM1	InflGene	7412
VEGFA	InflGene	7422
VIP	InflGene	7432
VWF	InflGene	7450
CALCA	InflGene	796
CASP1	InflGene	834
TSLP	InflGene	85480
IL33	InflGene	90865
ADIPOQ	InflGene	9370
CD40	InflGene	958
CD40LG	InflGene	959
Vitamin_B12	Process	
NFkB	Process	
Inflammation	Process	
Immune_cell_regulation	Process	
Diseases	Process	
Cytokines	Process	
Allograft_rejection	Process	
ILC_family_development	Process	
Nanoparticle_effects	Process	
FCR3_signaling	Process	
