source	target
Inflammation	IL1A
Inflammation	TLR2
Inflammation	IFNA1
Inflammation	TREM1
Inflammation	IFNB1
Inflammation	IRAK4
Inflammation	IL1B
Inflammation	IRAK1
Inflammation	MYD88
Cytokines	TNF
Cytokines	CSF3
Cytokines	HLA-DRB1
Cytokines	IL3
Cytokines	HLA-DRA
Cytokines	
Cytokines	CSF2
Cytokines	CSF1
Cytokines	IL2
Cytokines	CXCL2
Cytokines	IFNG
Cytokines	IFNB1
Cytokines	IL1B
Cytokines	PDGFA
Cytokines	IL1A
Cytokines	IL13
Cytokines	IL7
Cytokines	IL12B
Cytokines	IL15
Cytokines	IL5
Cytokines	IL11
Cytokines	IL4
Cytokines	IL10
Cytokines	CD4
Cytokines	CXCL1
Immune cells	ITGAL
Immune cells	VCAM1
Immune cells	IL1A
Immune cells	ICAM1
Immune cells	KNG1
Immune cells	C7
Immune cells	CXCL8
Immune cells	SELP
Immune cells	ITGA4
Immune cells	SELPLG
Immune cells	ITGB1
Immune cells	C5
Immune cells	ITGB2
Immune cells	C3
Immune cells	C6
Cytokines	STAT2
Cytokines	IL10RB
Cytokines	BLVRA
Cytokines	IL10RA
Cytokines	BLVRB
Cytokines	HMOX1
Cytokines	TGFB3
Cytokines	NFKB1
Cytokines	TRAF6
Cytokines	NFKBIA
Cytokines	TGFB2
Cytokines	MAP3K14
Cytokines	IFNA1
Cytokines	TOLLIP
Cytokines	IL1RN
Cytokines	IL1RAP
Cytokines	MAPK14
Cytokines	IL1R1
Cytokines	MAPK8
Cytokines	IRAK1
Cytokines	IRAK2
Cytokines	TAB1
Cytokines	RELA
Cytokines	MAP3K7
Cytokines	IKBKB
Cytokines	MAP2K6
Cytokines	ECSIT
Cytokines	CHUK
Cytokines	MAP3K1
Cytokines	IRAK3
Cytokines	MYD88
Cytokines	MAP2K3
Cytokines	JUN
Cytokines	TLR4
Cytokines	PF4
Cytokines	CCL5
Cytokines	SELE
Cytokines	VCAM1
Cytokines	ICAM1
Cytokines	TLR2
Cytokines	TLR7
Cytokines	SELP
Cytokines	CCL2
Cytokines	SELPLG
Cytokines	CD40
Cytokines	CD40LG
