source	target
NOS3	GNG2
NOS2	MYC
NOS2	AKT1
NOS2	UBC
NOS2	TYK2
NOS2	TNF
NOS2	UBA52
NOS2	PPARA
NOS2	RELA
NOS2	JAK2
NOS2	SRC
NOS2	JUN
NOS2	PTGS2
MAPK3	MAP3K14
MAPK3	CCL4
MAPK3	FGF1
MAPK3	MYC
MAPK3	ITGB3
MAPK3	AKT1
MAPK3	HIF1A
MAPK3	TYK2
MAPK3	SMAD1
MAPK3	FGFR2
MAPK3	SHC1
MAPK3	FOXO3
MAPK3	BLVRA
MAPK3	IL6
MAPK3	PPARA
MAPK3	SAA1
MAPK3	RELA
MAPK3	BCL2
MAPK3	MAPK8
MAPK3	JAK2
MAPK3	DDX58
MAPK3	FOXO1
MAPK3	EDN1
MAPK3	AGER
MAPK3	SRC
MAPK3	HSP90AB1
MAPK3	JUN
MAPK3	NGF
MAPK3	S100A12
MAPK3	IL6R
MAPK3	DUSP10
MAPK3	AGT
MAPK3	STAT1
MAPK3	CASP8
MAPK3	FN1
MAPK3	HMGB1
MAPK3	JAK1
MAPK3	PTK2
MAPK3	PTPN11
MAPK3	EIF4EBP1
MAPK3	HSP90AA1
MAPK3	TRIM25
MAPK3	F2R
MAPK3	F2
MAPK3	MAP2K1
MAPK3	CCL11
MAPK3	CSF2
MAPK3	S100B
MAPK3	APP
MAPK3	IL18
MAPK3	TP53
MAPK3	STAT3
MAPK3	FGF2
IFNL3	TYK2
MAPK1	MAP3K14
MAPK1	CCL4
MAPK1	FGF1
MAPK1	MYC
MAPK1	ELANE
MAPK1	ITGB3
MAPK1	AKT1
MAPK1	HIF1A
MAPK1	TYK2
MAPK1	SMAD1
MAPK1	FGFR2
MAPK1	SHC1
MAPK1	FOXO3
MAPK1	IL6
MAPK1	PPARA
MAPK1	SAA1
MAPK1	RELA
MAPK1	BCL2
MAPK1	MAPK8
MAPK1	JAK2
MAPK1	FOXO1
MAPK1	EDN1
MAPK1	AGER
MAPK1	SRC
MAPK1	HSP90AB1
MAPK1	JUN
MAPK1	NGF
MAPK1	S100A12
MAPK1	IL6R
MAPK1	DUSP10
MAPK1	AGT
MAPK1	STAT1
MAPK1	CASP8
MAPK1	FN1
MAPK1	HMGB1
MAPK1	JAK1
MAPK1	PTK2
MAPK1	PTPN11
MAPK1	EIF4EBP1
MAPK1	HSP90AA1
MAPK1	F2R
MAPK1	TOLLIP
MAPK1	F2
MAPK1	MAP2K1
MAPK1	CCL11
MAPK1	CSF2
MAPK1	S100B
MAPK1	APP
MAPK1	TP53
MAPK1	GALNS
MAPK1	STAT3
MAPK1	FGF2
MAPK1	MAPK3
MAPK1	CDH1
MAPK1	VWF
MAPK1	ITGAV
MAPK1	HNF1A
MAPK1	PYCARD
MAPK1	C3
MAPK1	TNFSF10
MAPK1	EGR1
MAPK1	PRTN3
MAPK1	IL2
MAPK1	NFKB1
MAPK1	MPO
MAPK1	HGF
MAPK1	TGFB1
MAPK1	RETN
MAPK1	TSC2
MAPK1	NFKBIA
MAPK1	CTSG
TBX21	GATA3
TBX21	FOXP3
TBX21	CXCR3
TBX21	IL17A
TBX21	IL4
TBX21	IFNG
CNR2	CCL4
CNR2	GNB1
CNR2	CCL5
CNR2	BDKRB2
CNR2	CXCL2
CNR2	SAA1
CNR2	POMC
CNR2	CXCL1
CNR2	ANXA1
MAPK8	MAP2K6
MAPK8	TRAF3
MAPK8	TRAF6
MAPK8	ANGPT1
MAPK8	BDNF
MAPK8	SHC1
MAPK8	TNF
MAPK8	MAPK9
MAPK8	FOXO3
MAPK8	RELA
MAPK8	MAP3K1
MAPK8	BCL2
MAPK9	MAP2K6
MAPK9	TRAF3
