pathway	entrezgene	hgnc_symbol
NFkB	597	BCL2A1
NFkB	599	BCL2L2
NFkB	959	CD40LG
NFkB	7132	TNFRSF1A
NFkB	6401	SELE
NFkB	5971	RELB
NFkB	112398	EGLN2
NFkB	7412	VCAM1
NFkB	4312	MMP1
NFkB	5743	PTGS2
NFkB	4313	MMP2
NFkB	4314	MMP3
NFkB	5966	REL
NFkB	8837	CFLAR
NFkB	4318	MMP9
Development	1116	CHI3L1
Development	4609	MYC
Development	7157	TP53
Development	6774	STAT3
Development	999	CDH1
Development	3572	IL6ST
Development	9021	SOCS3
Development	1869	E2F1
Development	4318	MMP9
Development	581	BAX
Angiogenesis	7077	TIMP2
Angiogenesis	7010	TEK
Angiogenesis	4086	SMAD1
Angiogenesis	3091	HIF1A
Angiogenesis	5594	MAPK1
Angiogenesis	7078	TIMP3
Angiogenesis	5155	PDGFB
Angiogenesis	7422	VEGFA
Angiogenesis	3791	KDR
Angiogenesis	5156	PDGFRA
Angiogenesis	2263	FGFR2
Angiogenesis	5290	PIK3CA
Angiogenesis	284	ANGPT1
Angiogenesis	2247	FGF2
Angiogenesis	1432	MAPK14
Angiogenesis	1387	CREBBP
Angiogenesis	2321	FLT1
Angiogenesis	5335	PLCG1
Angiogenesis	405	ARNT
Angiogenesis	207	AKT1
Angiogenesis	5747	PTK2
Angiogenesis	6714	SRC
Angiogenesis	4846	NOS3
Angiogenesis	4318	MMP9
NFkB	7187	TRAF3
NFkB	9641	IKBKE
NFkB	114609	TIRAP
NFkB	3661	IRF3
NFkB	54472	TOLLIP
NFkB	353376	TICAM2
NFkB	29110	TBK1
NFkB	3690	ITGB3
NFkB	6696	SPP1
NFkB	9020	MAP3K14
NFkB	3685	ITGAV
NFkB	5328	PLAU
NFkB	5604	MAP2K1
Metabolism	341208	HEPHL1
Metabolism	48	ACO1
Metabolism	7037	TFRC
Metabolism	4891	SLC11A2
Metabolism	7036	TFR2
Metabolism	57817	HAMP
Metabolism	7018	TF
Metabolism	2495	FTH1
Metabolism	30061	SLC40A1
Metabolism	57192	MCOLN1
Metabolism	55240	STEAP3
Metabolism	3658	IREB2
Angiogenesis	4142	MAS1
Angiogenesis	5972	REN
Angiogenesis	7040	
Angiogenesis	59272	ACE2
Angiogenesis	183	AGT
Angiogenesis	185	AGTR1
Angiogenesis	186	AGTR2
Angiogenesis	3827	KNG1
Angiogenesis	1215	CMA1
Angiogenesis	1511	CTSG
Angiogenesis	1585	CYP11B2
Angiogenesis	623	BDKRB1
Angiogenesis	624	BDKRB2
Angiogenesis	4306	NR3C2
Angiogenesis	1636	ACE
Angiogenesis	10159	ATP6AP2
Inflammation	7099	TLR4
Inflammation	929	CD14
Inflammation	7189	TRAF6
Inflammation	4790	NFKB1
Inflammation	4057	LTF
Inflammation	3552	IL1A
Inflammation	7097	TLR2
Inflammation	3439	IFNA1
Inflammation	54210	TREM1
Inflammation	3456	IFNB1
Inflammation	51135	IRAK4
Inflammation	3553	IL1B
Inflammation	3654	IRAK1
Inflammation	4615	MYD88
Cytokines	7124	TNF
Cytokines	1440	CSF3
Cytokines	3123	HLA-DRB1
Cytokines	3562	IL3
Cytokines	3122	HLA-DRA
Cytokines	7040	
Cytokines	1437	CSF2
Cytokines	1435	CSF1
Cytokines	3558	IL2
Cytokines	2920	CXCL2
Cytokines	3458	IFNG
Cytokines	3456	IFNB1
Cytokines	3553	IL1B
Cytokines	5154	PDGFA
Cytokines	3552	IL1A
Cytokines	3596	IL13
Cytokines	3574	IL7
Cytokines	3593	IL12B
Cytokines	3600	IL15
Cytokines	3567	IL5
Cytokines	3589	IL11
Cytokines	3565	IL4
Cytokines	3586	IL10
Cytokines	920	CD4
Cytokines	2919	CXCL1
Immune cells	3683	ITGAL
Immune cells	7412	VCAM1
Immune cells	3552	IL1A
Immune cells	3383	ICAM1
Immune cells	3827	KNG1
Immune cells	730	C7
Immune cells	3576	CXCL8
Immune cells	6403	SELP
Immune cells	3676	ITGA4
Immune cells	6404	SELPLG
Immune cells	3688	ITGB1
Immune cells	727	C5
Immune cells	3689	ITGB2
Immune cells	718	C3
Immune cells	729	C6
Cytokines	6773	STAT2
Cytokines	3588	IL10RB
Cytokines	644	BLVRA
Cytokines	3587	IL10RA
Cytokines	645	BLVRB
Cytokines	3162	HMOX1
Cytokines	7043	TGFB3
Cytokines	4790	NFKB1
Cytokines	7189	TRAF6
Cytokines	4792	NFKBIA
Cytokines	7042	TGFB2
Cytokines	9020	MAP3K14
Cytokines	3439	IFNA1
Cytokines	54472	TOLLIP
Cytokines	3557	IL1RN
Cytokines	3556	IL1RAP
Cytokines	1432	MAPK14
Cytokines	3554	IL1R1
Cytokines	5599	MAPK8
Cytokines	3654	IRAK1
Cytokines	3656	IRAK2
Cytokines	10454	TAB1
Cytokines	5970	RELA
Cytokines	6885	MAP3K7
Cytokines	3551	IKBKB
Cytokines	5608	MAP2K6
Cytokines	51295	ECSIT
Cytokines	1147	CHUK
Cytokines	4214	MAP3K1
Cytokines	11213	IRAK3
Cytokines	4615	MYD88
Cytokines	5606	MAP2K3
Cytokines	3725	JUN
Cytokines	7099	TLR4
Cytokines	5196	PF4
Cytokines	6352	CCL5
Cytokines	6401	SELE
Cytokines	7412	VCAM1
Cytokines	3383	ICAM1
Cytokines	7097	TLR2
Cytokines	51284	TLR7
Cytokines	6403	SELP
Cytokines	6347	CCL2
Cytokines	6404	SELPLG
Cytokines	958	CD40
Cytokines	959	CD40LG
