source_id	target_id	common_neighbors
Inflammation	TIRAP	5
Inflammation	TLR6	4
Inflammation	CD14	1
Inflammation	TLR1	3
Inflammation	TLR4	7
Inflammation	IRF7	6
Inflammation	CXCL2	5
Inflammation	AGTR1	3
Inflammation	BDKRB2	3
Inflammation	CXCR3	2
Inflammation	AGTR2	2
Inflammation	PTGS2	2
Inflammation	POMC	2
Inflammation	CNR2	2
Inflammation	MAPK11	2
Inflammation	ANXA1	2
Inflammation	CCL20	3
Inflammation	CARD8	2
Inflammation	MAVS	3
Inflammation	TXNIP	2
Inflammation	CASP5	2
Inflammation	SUGT1	2
Inflammation	NLRC4	3
Inflammation	PSTPIP1	1
Inflammation	PLAU	1
Inflammation	ITGA4	4
Inflammation	VEGFC	2
Inflammation	PTPN1	1
Inflammation	TF	3
Inflammation	ANGPT1	2
Inflammation	TGFB2	2
Inflammation	TEK	2
Inflammation	SPP1	2
Inflammation	PRKCSH	3
Inflammation	UBA52	4
Inflammation	TAB3	4
Inflammation	TLR7	1
Inflammation	IL33	1
Inflammation	TICAM2	5
Inflammation	TLR5	2
Inflammation	IRF3	5
Inflammation	TRIM25	2
Inflammation	DDX58	2
Inflammation	LTF	1
Inflammation	CD40	1
Inflammation	BCL2A1	1
Inflammation	TAB2	3
Inflammation	REL	1
Inflammation	BIRC3	1
Inflammation	IFIH1	1
Inflammation	UBE2N	2
Inflammation	UBB	2
Inflammation	RIPK1	1
Inflammation	NFKBIB	1
Inflammation	TBK1	2
Inflammation	TXN	1
Inflammation	RNF135	1
Inflammation	EPO	1
Inflammation	RPS27A	1
Inflammation	ITGB2	5
Inflammation	TLR2	1
Inflammation	IL23A	1
Inflammation	CREBBP	1
Inflammation	IL1A	1
Inflammation	IL12B	1
Inflammation	IRAK2	1
Inflammation	NLRP3	3
Inflammation	TRAF2	1
Inflammation	PPARG	1
Inflammation	ZBP1	1
Inflammation	UBE2V1	2
Inflammation	CD40LG	1
Inflammation	MAPK9	2
Inflammation	GATA3	1
Inflammation	CCL3	2
Inflammation	ICAM1	1
Inflammation	IL12A	1
Inflammation	IL17A	1
Inflammation	DEFB4A	1
Inflammation	IFNB1	1
Inflammation	CCK	1
Inflammation	LTB4R	1
Inflammation	F2RL1	1
Inflammation	CSF1	1
Inflammation	MAPK10	1
Inflammation	TAC1	1
Inflammation	PLG	1
Inflammation	HSP90B1	1
Inflammation	PDGFB	1
Inflammation	PF4	1
Inflammation	CXCL10	1
Inflammation	CALCA	1
NFkB	RELA	51
NFkB	BCL2	5
NFkB	TP53	5
NFkB	TBK1	7
NFkB	MAP3K7	24
NFkB	TRIM25	10
NFkB	CD40LG	7
NFkB	MAP2K3	14
NFkB	STAT1	14
NFkB	MAPK8	14
NFkB	RPS27A	10
NFkB	MAVS	18
NFkB	TNFSF14	5
NFkB	UBB	14
NFkB	UBC	35
NFkB	TNFAIP3	20
NFkB	CASP8	19
NFkB	CD40	9
NFkB	NFKBIB	7
NFkB	MAPK10	4
NFkB	IKBKE	14
NFkB	IFIH1	4
NFkB	BIRC3	8
NFkB	TRAF6	49
NFkB	NFKB2	19
NFkB	IKBKB	44
NFkB	UBA52	31
NFkB	TAB2	19
NFkB	MAP2K6	27
NFkB	IKBKG	52
NFkB	TNF	35
NFkB	XIAP	11
NFkB	DDX58	14
NFkB	TNFSF13B	3
NFkB	MAPK9	12
NFkB	IRF7	19
NFkB	BIRC2	24
NFkB	MAPK11	11
NFkB	MAP3K1	27
NFkB	RNF135	7
NFkB	TXN	3
NFkB	TRAF3	22
NFkB	MAP3K14	22
NFkB	CHUK	30
NFkB	RIPK1	7
NFkB	TAB3	24
NFkB	NOD2	7
NFkB	TGFB3	1
NFkB	MAPK14	8
NFkB	TICAM2	18
NFkB	TGFB2	2
NFkB	RIPK2	3
NFkB	MAP2K1	7
NFkB	BMP4	1
NFkB	UBE2V1	10
NFkB	TLR4	19
NFkB	TGFB1	2
NFkB	IRAK2	3
NFkB	IL1R1	11
NFkB	UBE2N	9
NFkB	NFKBIA	4
NFkB	TLR3	5
NFkB	CD14	5
NFkB	NOD1	4
NFkB	IL1A	3
NFkB	MYD88	31
NFkB	IRAK1	17
NFkB	NFKB1	6
NFkB	TRAF2	7
NFkB	IL15	2
NFkB	STAT3	10
NFkB	FOXP3	2
NFkB	IL10	15
NFkB	HSP90AA1	6
NFkB	MAPK3	6
NFkB	IL1B	7
NFkB	CD3E	1
NFkB	IL3	1
NFkB	IL4	3
NFkB	SOCS3	2
NFkB	IL5	1
NFkB	SHC1	11
NFkB	IFNG	1
NFkB	PIK3CD	2
