entrezgene	logFC_SLE	PValue_SLE
13715	-0.929605904911509	4.10795939197346e-15
7762	-2.13540476693821	4.37455536114628e-15
48980	-0.615313863172233	4.48760007301686e-15
98	0.284207953236864	4.69171885444463e-15
44935	-1.34209962713741	4.85872233782903e-15
26769	0.481424873975516	4.99150985326189e-15
48989	-0.552282510792658	5.23107038476133e-15
27399	0.543036482184429	5.42183402496704e-15
30092	-1.06410839890279	5.67178848752538e-15
44929	-0.741616688499472	5.68917179402279e-15
46154	-0.736455239007305	6.00825051384564e-15
48068	-0.491294013878388	6.31681851873559e-15
60342	-0.634043894231027	6.9644852778292e-15
45664	-0.488371090783699	7.31527220348787e-15
39342	-0.545374010607318	7.64546745001903e-15
28761	-0.47447901436733	7.95001239694345e-15
52335	-0.956664729914191	8.16815233027414e-15
35962	-0.816817668078006	8.22537943844317e-15
24236	-2.00424797714494	8.97178261887634e-15
1249	-1.21154221358796	9.68858681644202e-15
46513	-1.00003614153463	1.01878603789493e-14
22511	-1.0329223700772	1.08187410436743e-14
51495	-0.901351603437573	1.11727865458172e-14
2759	-0.64725015459082	1.19522102714167e-14
30800	-1.85207557037676	1.22198823223118e-14
46403	0.438175290242931	1.325637584926e-14
29004	-0.898693068435118	1.5242252239051e-14
28253	-2.38950449990837	1.54185258219195e-14
16598	0.430464254675168	1.57809425680773e-14
12957	-2.8772114825148	1.64042501722495e-14
34308	0.497044506703443	1.74331185886517e-14
13824	-0.464197010969945	1.78134375034466e-14
1989	-2.2984279018722	1.85043599229412e-14
12942	-0.714965277073986	1.89786245049519e-14
24106	-1.08782373765619	1.95269865683626e-14
7432	1.21986529124975	2.08073835282466e-14
885	-2.01373570361556	2.0819638736228e-14
6696	-2.65520248279998	2.12735508303445e-14
46870	-0.849670771912285	2.31619955100077e-14
19831	0.439898045057072	2.42903318400957e-14
34969	-1.07621977145145	2.43103589190591e-14
59606	-0.402907360175942	2.52663670718484e-14
36638	-0.70464661735091	2.5821145504129e-14
28549	-3.86550705483999	2.61608171048481e-14
33888	-2.0338225951678	2.62320300516483e-14
53509	-1.21136713265011	2.66109787636234e-14
14512	-1.02787422545991	2.66229239839718e-14
22908	-1.10485430310048	2.78501377171601e-14
16227	-4.7079181848345	2.85846941891608e-14
60413	-0.578162724287482	2.98820749952245e-14
3233	-0.797580563643138	2.99571603756235e-14
25296	0.824908586234138	3.04582303323992e-14
6831	-0.784349559743521	3.11742828381991e-14
28909	-0.333938255587472	3.17684579580815e-14
22912	-0.645504730189301	3.34653098971746e-14
29770	0.641647107374978	3.38469456608772e-14
42043	-0.73404125946973	3.50172181839878e-14
28252	-2.1773012374714	3.59908507372668e-14
37768	-0.514852849538114	3.7494786780055e-14
51381	0.441971009672209	3.88741450451135e-14
51830	-1.17706149579016	4.10860610201106e-14
30712	-0.467898787758815	4.81511002786686e-14
31760	-0.715932702363613	4.98991758809335e-14
22857	-0.551181226157774	5.00632913685355e-14
26087	0.469798850415617	5.17687463247805e-14
27396	0.48436649933525	5.69789834096049e-14
1987	-3.16996806854475	5.70367811196977e-14
32174	-2.63680754809533	6.20096487817426e-14
6963	-0.420098461862443	6.30867851893248e-14
29792	0.333561932269181	6.35173349902227e-14
28251	-2.6035168958452	6.4293409102232e-14
6829	-0.709056196446769	6.56165235835127e-14
2960	-1.72783112053434	6.65706557659819e-14
28112	0.61634415181661	6.71464791864732e-14
1106	-0.590226684022936	7.2379741027983e-14
37853	-0.647550779597141	7.34226543838023e-14
38428	0.429759884498216	7.88060039574291e-14
29749	0.88802894791153	8.08699744656151e-14
692	-1.45200236379822	8.10649575106878e-14
2115	-2.1510602261527	8.46286987971284e-14
52957	-1.20723898911035	8.71704712210572e-14
26146	-0.800697257707971	9.04894299163061e-14
25498	1.01273011552869	9.43775922901102e-14
1287	-0.466676615848902	9.47077624767216e-14
8942	0.418822266358975	9.47489341253911e-14
2104	-1.21159171291319	9.57024172660544e-14
1974	-1.00166097820636	9.66313921120184e-14
48580	-0.918576495843411	9.84514594286943e-14
29339	0.35278231876607	1.03998841123748e-13
37855	-0.648716070513018	1.06270861845999e-13
28918	-0.319082734578573	1.13410112777544e-13
43418	-4.12880166277539	1.1991829440025e-13
18823	-0.541552836906292	1.29944267963206e-13
24804	-0.451268987769	1.35012316911754e-13
24107	-1.25659344904917	1.4316829899485e-13
19057	0.488378127929897	1.47412686897366e-13
60716	-0.300671677149337	1.5050736107643e-13
4963	-0.329198175352873	1.50572445569923e-13
43926	-1.47194743851166	1.54108783080739e-13
75	-2.40433733038945	1.56380804788235e-13
33334	0.535825884725803	1.56494701492522e-13
9986	-0.742099994828697	1.61073150147873e-13
27859	1.2580885530406	1.6533854272829e-13
38134	0.599455092869981	1.77099395495642e-13
41653	-1.20973043695728	1.79923488480268e-13
23104	-0.815487077351966	1.81930649834131e-13
39928	-0.532156421358898	1.8194920209639e-13
52136	-0.558884924186273	1.89134537299428e-13
48969	0.393190449436637	1.95512093026124e-13
10712	-0.57788461777652	2.0594372573907e-13
5721	-0.950142374270304	2.07949854417528e-13
7499	-1.24724966223633	2.15299872903554e-13
50565	-0.582887841133187	2.22920781299681e-13
18953	0.410552472501829	2.25776816894599e-13
31177	-0.920572182378654	2.29683528664669e-13
12955	-2.38858064621152	2.29972674669975e-13
46872	-1.20803840978602	2.32075530784521e-13
13565	-0.449458276835997	2.37510674807109e-13
22472	-2.47616664490007	2.3768157406456e-13
33331	0.321775364627214	2.60317856231603e-13
7010	-0.638023851392545	2.75611688187618e-13
148	0.443467093048415	2.76270484399009e-13
22409	-0.367944342295315	2.84429259927851e-13
45155	-0.409092668381529	2.84526268109634e-13
23823	0.604736167032376	3.13428190893129e-13
25303	0.5345917992115	3.13696596020371e-13
51275	-2.11546258032701	3.18649982794025e-13
51339	0.414390084141673	3.20605763897256e-13
36033	-0.88584935717553	3.48075581643951e-13
23798	0.430388175259023	3.64403789332824e-13
22301	0.658874897642142	3.66301310293763e-13
35264	-0.896102527243593	3.67251701245639e-13
25583	0.480295600931055	3.68848084622935e-13
18948	0.324738253944478	3.76286317495326e-13
39630	-0.599305790463696	4.0130786817474e-13
22840	-1.1513091360872	4.11697329757026e-13
29138	-0.439542816666152	4.37562947120604e-13
16019	-0.619469898672992	4.43528950461685e-13
23385	0.789451403590321	4.71436590913335e-13
9244	0.689056180888911	4.8323269743542e-13
45987	-0.429711481259884	4.97949837304813e-13
28763	-0.882577596533859	5.16548567397462e-13
51420	-0.391839324932841	5.3971395391019e-13
23936	0.43252598487425	5.44063407566995e-13
10863	-1.0304043553271	5.46006290072475e-13
10360	-0.517526772909468	5.48886480521252e-13
51493	-0.996267286838596	5.52392366230738e-13
51496	-0.747393684020377	5.60715638866424e-13
30723	2.02669726671837	5.73549079231118e-13
25384	0.448020912367551	5.9037685914366e-13
