pathway	entrezgene
KEGG_TYPE_I_DIABETES_MELLITUS	3127
KEGG_TYPE_I_DIABETES_MELLITUS	4049
KEGG_TYPE_I_DIABETES_MELLITUS	3111
KEGG_TYPE_I_DIABETES_MELLITUS	3112
KEGG_TYPE_I_DIABETES_MELLITUS	3125
KEGG_TYPE_I_DIABETES_MELLITUS	941
KEGG_TYPE_I_DIABETES_MELLITUS	942
KEGG_TYPE_I_DIABETES_MELLITUS	940
KEGG_TYPE_I_DIABETES_MELLITUS	7124
KEGG_TYPE_I_DIABETES_MELLITUS	3382
KEGG_TYPE_I_DIABETES_MELLITUS	3458
KEGG_TYPE_I_DIABETES_MELLITUS	652614
KEGG_TYPE_I_DIABETES_MELLITUS	5799
KEGG_TYPE_I_DIABETES_MELLITUS	3107
KEGG_TYPE_I_DIABETES_MELLITUS	3106
KEGG_TYPE_I_DIABETES_MELLITUS	3630
KEGG_TYPE_I_DIABETES_MELLITUS	3553
KEGG_TYPE_I_DIABETES_MELLITUS	3109
KEGG_TYPE_I_DIABETES_MELLITUS	5798
KEGG_TYPE_I_DIABETES_MELLITUS	3108
KEGG_TYPE_I_DIABETES_MELLITUS	3134
KEGG_TYPE_I_DIABETES_MELLITUS	3133
KEGG_TYPE_I_DIABETES_MELLITUS	3105
KEGG_TYPE_I_DIABETES_MELLITUS	3558
KEGG_TYPE_I_DIABETES_MELLITUS	3113
KEGG_TYPE_I_DIABETES_MELLITUS	3593
KEGG_TYPE_I_DIABETES_MELLITUS	3115
KEGG_TYPE_I_DIABETES_MELLITUS	2571
KEGG_TYPE_I_DIABETES_MELLITUS	3117
KEGG_TYPE_I_DIABETES_MELLITUS	3135
KEGG_TYPE_I_DIABETES_MELLITUS	3118
KEGG_TYPE_I_DIABETES_MELLITUS	3592
KEGG_TYPE_I_DIABETES_MELLITUS	1363
KEGG_TYPE_I_DIABETES_MELLITUS	3119
KEGG_TYPE_I_DIABETES_MELLITUS	2572
KEGG_TYPE_I_DIABETES_MELLITUS	3552
KEGG_TYPE_I_DIABETES_MELLITUS	3329
KEGG_TYPE_I_DIABETES_MELLITUS	5551
KEGG_TYPE_I_DIABETES_MELLITUS	355
KEGG_TYPE_I_DIABETES_MELLITUS	356
KEGG_TYPE_I_DIABETES_MELLITUS	3002
KEGG_TYPE_I_DIABETES_MELLITUS	3123
KEGG_TYPE_I_DIABETES_MELLITUS	3122
KEGG_LEISHMANIA_INFECTION	3725
KEGG_LEISHMANIA_INFECTION	3111
KEGG_LEISHMANIA_INFECTION	3112
KEGG_LEISHMANIA_INFECTION	5579
KEGG_LEISHMANIA_INFECTION	6772
KEGG_LEISHMANIA_INFECTION	2002
KEGG_LEISHMANIA_INFECTION	7124
KEGG_LEISHMANIA_INFECTION	3684
KEGG_LEISHMANIA_INFECTION	3676
KEGG_LEISHMANIA_INFECTION	4615
KEGG_LEISHMANIA_INFECTION	9103
KEGG_LEISHMANIA_INFECTION	2209
KEGG_LEISHMANIA_INFECTION	3109
KEGG_LEISHMANIA_INFECTION	3108
KEGG_LEISHMANIA_INFECTION	5777
KEGG_LEISHMANIA_INFECTION	51135
KEGG_LEISHMANIA_INFECTION	3593
KEGG_LEISHMANIA_INFECTION	5600
KEGG_LEISHMANIA_INFECTION	4689
KEGG_LEISHMANIA_INFECTION	4688
KEGG_LEISHMANIA_INFECTION	5743
KEGG_LEISHMANIA_INFECTION	5603
KEGG_LEISHMANIA_INFECTION	3592
KEGG_LEISHMANIA_INFECTION	4843
KEGG_LEISHMANIA_INFECTION	6885
KEGG_LEISHMANIA_INFECTION	3552
KEGG_LEISHMANIA_INFECTION	3716
KEGG_LEISHMANIA_INFECTION	3717
KEGG_LEISHMANIA_INFECTION	3688
KEGG_LEISHMANIA_INFECTION	3689
KEGG_LEISHMANIA_INFECTION	1378
KEGG_LEISHMANIA_INFECTION	5595
KEGG_LEISHMANIA_INFECTION	2215
KEGG_LEISHMANIA_INFECTION	4790
KEGG_LEISHMANIA_INFECTION	2212
KEGG_LEISHMANIA_INFECTION	3586
KEGG_LEISHMANIA_INFECTION	4793
KEGG_LEISHMANIA_INFECTION	4792
KEGG_LEISHMANIA_INFECTION	2214
KEGG_LEISHMANIA_INFECTION	65108
KEGG_LEISHMANIA_INFECTION	5594
KEGG_LEISHMANIA_INFECTION	3126
KEGG_LEISHMANIA_INFECTION	3127
KEGG_LEISHMANIA_INFECTION	3125
KEGG_LEISHMANIA_INFECTION	1432
KEGG_LEISHMANIA_INFECTION	6300
KEGG_LEISHMANIA_INFECTION	5970
KEGG_LEISHMANIA_INFECTION	3460
KEGG_LEISHMANIA_INFECTION	7189
KEGG_LEISHMANIA_INFECTION	7042
KEGG_LEISHMANIA_INFECTION	7040
KEGG_LEISHMANIA_INFECTION	3458
KEGG_LEISHMANIA_INFECTION	3459
KEGG_LEISHMANIA_INFECTION	23118
KEGG_LEISHMANIA_INFECTION	3553
KEGG_LEISHMANIA_INFECTION	3654
KEGG_LEISHMANIA_INFECTION	7043
KEGG_LEISHMANIA_INFECTION	3113
KEGG_LEISHMANIA_INFECTION	3115
KEGG_LEISHMANIA_INFECTION	3117
KEGG_LEISHMANIA_INFECTION	3118
KEGG_LEISHMANIA_INFECTION	3119
KEGG_LEISHMANIA_INFECTION	718
KEGG_LEISHMANIA_INFECTION	653361
KEGG_LEISHMANIA_INFECTION	7099
KEGG_LEISHMANIA_INFECTION	10454
KEGG_LEISHMANIA_INFECTION	3565
KEGG_LEISHMANIA_INFECTION	7097
KEGG_LEISHMANIA_INFECTION	2353
KEGG_LEISHMANIA_INFECTION	1535
KEGG_LEISHMANIA_INFECTION	3123
KEGG_LEISHMANIA_INFECTION	3122
KEGG_ASTHMA	3126
KEGG_ASTHMA	3127
KEGG_ASTHMA	3111
KEGG_ASTHMA	3112
KEGG_ASTHMA	3125
KEGG_ASTHMA	3562
KEGG_ASTHMA	7124
KEGG_ASTHMA	6356
KEGG_ASTHMA	8288
KEGG_ASTHMA	2207
KEGG_ASTHMA	2206
KEGG_ASTHMA	3109
KEGG_ASTHMA	2205
KEGG_ASTHMA	3108
KEGG_ASTHMA	3578
KEGG_ASTHMA	959
KEGG_ASTHMA	3113
KEGG_ASTHMA	958
KEGG_ASTHMA	3115
KEGG_ASTHMA	3596
KEGG_ASTHMA	3117
KEGG_ASTHMA	3118
KEGG_ASTHMA	3119
KEGG_ASTHMA	5553
KEGG_ASTHMA	6037
KEGG_ASTHMA	3565
KEGG_ASTHMA	3567
KEGG_ASTHMA	3586
KEGG_ASTHMA	3123
KEGG_ASTHMA	3122
KEGG_ALLOGRAFT_REJECTION	3126
KEGG_ALLOGRAFT_REJECTION	3127
KEGG_ALLOGRAFT_REJECTION	3111
KEGG_ALLOGRAFT_REJECTION	3112
KEGG_ALLOGRAFT_REJECTION	3125
KEGG_ALLOGRAFT_REJECTION	941
KEGG_ALLOGRAFT_REJECTION	942
KEGG_ALLOGRAFT_REJECTION	940
KEGG_ALLOGRAFT_REJECTION	7124
KEGG_ALLOGRAFT_REJECTION	3458
KEGG_ALLOGRAFT_REJECTION	652614
KEGG_ALLOGRAFT_REJECTION	3107
KEGG_ALLOGRAFT_REJECTION	3106
KEGG_ALLOGRAFT_REJECTION	3109
KEGG_ALLOGRAFT_REJECTION	3108
KEGG_ALLOGRAFT_REJECTION	3134
KEGG_ALLOGRAFT_REJECTION	3133
KEGG_ALLOGRAFT_REJECTION	3105
KEGG_ALLOGRAFT_REJECTION	3558
KEGG_ALLOGRAFT_REJECTION	959
KEGG_ALLOGRAFT_REJECTION	3113
KEGG_ALLOGRAFT_REJECTION	958
KEGG_ALLOGRAFT_REJECTION	3593
KEGG_ALLOGRAFT_REJECTION	3115
KEGG_ALLOGRAFT_REJECTION	3117
KEGG_ALLOGRAFT_REJECTION	3135
KEGG_ALLOGRAFT_REJECTION	3118
KEGG_ALLOGRAFT_REJECTION	3592
KEGG_ALLOGRAFT_REJECTION	3119
KEGG_ALLOGRAFT_REJECTION	5551
KEGG_ALLOGRAFT_REJECTION	355
KEGG_ALLOGRAFT_REJECTION	356
KEGG_ALLOGRAFT_REJECTION	3002
KEGG_ALLOGRAFT_REJECTION	3565
KEGG_ALLOGRAFT_REJECTION	3567
KEGG_ALLOGRAFT_REJECTION	3586
KEGG_ALLOGRAFT_REJECTION	3123
KEGG_ALLOGRAFT_REJECTION	3122
KEGG_GRAFT_VERSUS_HOST_DISEASE	3126
KEGG_GRAFT_VERSUS_HOST_DISEASE	3802
KEGG_GRAFT_VERSUS_HOST_DISEASE	3127
KEGG_GRAFT_VERSUS_HOST_DISEASE	3111
KEGG_GRAFT_VERSUS_HOST_DISEASE	3112
KEGG_GRAFT_VERSUS_HOST_DISEASE	3125
KEGG_GRAFT_VERSUS_HOST_DISEASE	941
KEGG_GRAFT_VERSUS_HOST_DISEASE	942
KEGG_GRAFT_VERSUS_HOST_DISEASE	3824
KEGG_GRAFT_VERSUS_HOST_DISEASE	3821
KEGG_GRAFT_VERSUS_HOST_DISEASE	940
KEGG_GRAFT_VERSUS_HOST_DISEASE	7124
KEGG_GRAFT_VERSUS_HOST_DISEASE	3803
KEGG_GRAFT_VERSUS_HOST_DISEASE	3804
KEGG_GRAFT_VERSUS_HOST_DISEASE	3458
KEGG_GRAFT_VERSUS_HOST_DISEASE	652614
KEGG_GRAFT_VERSUS_HOST_DISEASE	3107
KEGG_GRAFT_VERSUS_HOST_DISEASE	3106
KEGG_GRAFT_VERSUS_HOST_DISEASE	3109
KEGG_GRAFT_VERSUS_HOST_DISEASE	3553
KEGG_GRAFT_VERSUS_HOST_DISEASE	3108
KEGG_GRAFT_VERSUS_HOST_DISEASE	3134
KEGG_GRAFT_VERSUS_HOST_DISEASE	3133
KEGG_GRAFT_VERSUS_HOST_DISEASE	3105
KEGG_GRAFT_VERSUS_HOST_DISEASE	3558
KEGG_GRAFT_VERSUS_HOST_DISEASE	3113
KEGG_GRAFT_VERSUS_HOST_DISEASE	3115
KEGG_GRAFT_VERSUS_HOST_DISEASE	3117
KEGG_GRAFT_VERSUS_HOST_DISEASE	3135
KEGG_GRAFT_VERSUS_HOST_DISEASE	3811
KEGG_GRAFT_VERSUS_HOST_DISEASE	3118
KEGG_GRAFT_VERSUS_HOST_DISEASE	3812
KEGG_GRAFT_VERSUS_HOST_DISEASE	3119
KEGG_GRAFT_VERSUS_HOST_DISEASE	3552
KEGG_GRAFT_VERSUS_HOST_DISEASE	5551
KEGG_GRAFT_VERSUS_HOST_DISEASE	355
KEGG_GRAFT_VERSUS_HOST_DISEASE	356
KEGG_GRAFT_VERSUS_HOST_DISEASE	3002
KEGG_GRAFT_VERSUS_HOST_DISEASE	57292
KEGG_GRAFT_VERSUS_HOST_DISEASE	3569
KEGG_GRAFT_VERSUS_HOST_DISEASE	3123
KEGG_GRAFT_VERSUS_HOST_DISEASE	3122
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	11035
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	1147
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	148022
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	177
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	3146
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	351
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	3551
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	4791
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	4792
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	4793
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	5970
