entrezgene	hgnc_symbol
6288	SAA1
6280	S100A9
2919	CXCL1
3827	KNG1
7450	VWF
6403	SELP
301	ANXA1
1673	DEFB4A
4153	MBL2
7157	TP53
1432	MAPK14
3600	IL15
5443	POMC
10673	TNFSF13B
7130	TNFAIP6
51738	GHRL
351	APP
10333	TLR6
4780	NFE2L2
3082	HGF
6404	SELPLG
960	CD44
57817	HAMP
6285	S100B
5228	PGF
1471	CST3
8743	TNFSF10
6564	SLC15A1
652	BMP4
708	C1QBP
2246	FGF1
7177	TPSAB1
8995	TNFSF18
64806	IL25
7424	VEGFC
1410	CRYAB
4306	NR3C2
91966	CXorf40A
4502	MT2A
7079	TIMP4
51305	KCNK9
55937	APOM
54567	DLL4
116519	APOA5
260434	PYDC1
338322	NLRP10
7532	YWHAG
79865	TREML2
80274	SCUBE1
6699	SPRR1B
90070	LACRT
339221	ENPP7
7423	VEGFB
8862	APLN
7533	YWHAH
7818	DAP3
27179	IL36A
29943	PADI1
10628	TXNIP
11019	LIAS
23054	NCOA6
1237	CCR8
2288	FKBP4
2160	F11
2155	F7
343	AQP8
274	BIN1
2335	FN1
5562	PRKAA1
3556	IL1RAP
2957	GTF2A1
4210	MEFV
355	FAS
6401	SELE
7412	VCAM1
5265	SERPINA1
4312	MMP1
5243	ABCB1
356	FASLG
720	C4A
3592	IL12A
7098	TLR3
2212	FCGR2A
3593	IL12B
2147	F2
718	C3
4582	MUC1
1116	CHI3L1
51816	ADA2
7056	THBD
1511	CTSG
3566	IL4R
3659	IRF1
115650	TNFRSF13C
2908	NR3C1
100	ADA
6283	S100A12
3329	HSPD1
7432	VIP
11251	PTGDR2
2214	FCGR3A
671	BPI
6441	SFTPD
6387	CXCL12
1435	CSF1
5806	PTX3
1499	CTNNB1
5444	PON1
721	C4B
999	CDH1
361	AQP4
5327	PLAT
847	CAT
1236	CCR7
50616	IL22
5580	PRKCD
4311	MME
23495	TNFRSF13B
6357	CCL13
8742	TNFSF12
3683	ITGAL
820	CAMP
9332	CD163
9021	SOCS3
3269	HRH1
4088	SMAD3
10344	CCL26
51284	TLR7
3091	HIF1A
10135	NAMPT
3479	IGF1
2321	FLT1
2896	GRN
54	ACP5
1392	CRH
5728	PTEN
1508	CTSB
1950	EGF
7052	TGM2
6362	CCL18
1026	CDKN1A
2252	FGF7
1238	ACKR2
54210	TREM1
940	CD28
8174	MADCAM1
2209	FCGR1A
4684	NCAM1
285	ANGPT2
6373	CXCL11
5175	PECAM1
1268	CNR1
2532	ACKR1
4092	SMAD7
5196	PF4
6372	CXCL6
7448	VTN
1557	CYP2C19
2358	FPR2
103	ADAR
5159	PDGFRB
7305	TYROBP
2688	GH1
2520	GAST
728	C5AR1
246778	IL27
8651	SOCS1
8398	PLA2G6
185	AGTR1
1755	DMBT1
6278	S100A7
5176	SERPINF1
9235	IL32
1270	CNTF
5354	PLP1
6346	CCL1
23411	SIRT1
608	TNFRSF17
3320	HSP90AA1
3976	LIF
332	BIRC5
5155	PDGFB
197	AHSG
961	CD47
968	CD68
160364	CLEC12A
9420	CYP7B1
51094	ADIPOR1
79602	ADIPOR2
1588	CYP19A1
5646	PRSS3
9547	CXCL14
4150	MAZ
6318	SERPINB4
8741	TNFSF13
1361	CPB2
1999	ELF3
10365	KLF2
5241	PGR
1667	DEFA1
4319	MMP10
50604	IL20
5979	RET
5154	PDGFA
1829	DSG2
3672	ITGA1
131450	CD200R1
249	ALPL
710	SERPING1
1668	DEFA3
2643	GCH1
58191	CXCL16
51330	TNFRSF12A
952	CD38
1191	CLU
6363	CCL19
8784	TNFRSF18
4267	CD99
682	BSG
283	ANG
719	C3AR1
9423	NTN1
3984	LIMK1
440068	CARD17
6781	STC1
50848	F11R
3001	GZMA
116	ADCYAP1
325	APCS
9308	CD83
155	ADRB3
4880	NPPC
5764	PTN
360	AQP3
7114	TMSB4X
337	APOA4
25824	PRDX5
7980	TFPI2
2323	FLT3LG
5245	PHB
775	CACNA1C
3816	KLK1
2204	FCAR
4345	CD200
3604	TNFRSF9
80854	SETD7
962	CD48
26298	EHF
5281	PIGF
9	NAT1
6317	SERPINB3
3777	KCNK3
3698	ITIH2
1652	DDT
10859	LILRB1
4909	NTF4
3084	NRG1
64078	SLC28A3
347	APOD
364	AQP7
5331	PLCB3
283748	PLA2G4D
9153	SLC28A2
57758	SCUBE2
683	BST1
65997	RASL11B
